List,Card,Labels,Description
Sprint 1 - Аккаунты и персонажи,Команда /profile - карточка персонажа в чате,Bot,
Sprint 2 - Боевая система (ядро),Сущность Bit (2 стороны: удар/защита/действие),Backend,
Sprint 2 - Боевая система (ядро),Сущность Battle + BattleRound (лог боя),Backend,
Sprint 2 - Боевая система (ядро),Логика броска бит (случайная сторона каждой биты),Backend,
Sprint 2 - Боевая система (ядро),Сравнение комбинаций граней -> расчёт урона/эффектов,Backend,
Sprint 2 - Боевая система (ядро),API: создать бой (PvE против бота базовая версия),Backend,
Sprint 2 - Боевая система (ядро),API: сделать ход в бою (бросок применение эффекта),Backend,
Sprint 2 - Боевая система (ядро),"Обработка грани ""действие"" (переворот биты соперника умение)",Backend,
Sprint 2 - Боевая система (ядро),Юнит-тесты боевой логики (граничные комбинации),Backend,
Sprint 2 - Боевая система (ядро),Балансировка после первых тестовых боёв,GD,
Sprint 3 - Discord Activity (визуализация),Интеграция Discord Embedded App SDK (авторизация внутри Activity),Activity,
Sprint 3 - Discord Activity (визуализация),Анимация броска бит (монетка/переворот),Activity,
Sprint 3 - Discord Activity (визуализация),Экран арены: HP-бары игрока и противника,Activity,
Sprint 3 - Discord Activity (визуализация),UI выбора действия/умения между раундами,Activity,
Sprint 3 - Discord Activity (визуализация),Поллинг состояния боя с backend (оптимистичный UI),Activity,
Sprint 3 - Discord Activity (визуализация),Экран результата боя (победа/поражение награды),Activity,
Sprint 3 - Discord Activity (визуализация),Деплой Activity на HTTPS-хостинг (staging),Infra,
Sprint 4 - Discord Bot интеграция,Команда запуска Activity в голосовом канале,Bot,
Sprint 4 - Discord Bot интеграция,Команда /duel @user - вызов на PvP-дуэль,Bot,
Sprint 4 - Discord Bot интеграция,Подтверждение дуэли кнопками,Bot,
Sprint 4 - Discord Bot интеграция,Команда /pve - бой против бота (с проверкой энергии),Bot,
Sprint 4 - Discord Bot интеграция,API: проверка и списание энергии за PvE-бой,Backend,
Sprint 4 - Discord Bot интеграция,Уведомление о результате боя в текстовый канал,Bot,
Sprint 5 - Экономика и снаряжение,Сущность Equipment (модификатор бит/HP цена),Backend,
Sprint 5 - Экономика и снаряжение,API: список снаряжения (магазин),Backend,
Sprint 5 - Экономика и снаряжение,API: покупка снаряжения (списание монет),Backend,
Sprint 5 - Экономика и снаряжение,Применение бонусов снаряжения в бою,Backend,
Sprint 5 - Экономика и снаряжение,Экран магазина,Activity,
Sprint 5 - Экономика и снаряжение,Экран инвентаря персонажа,Activity,
Sprint 5 - Экономика и снаряжение,Команда /shop - краткий список + ссылка на Activity,Bot,
Sprint 6 - PvE-ивенты,Сущность Event (тип время начала/окончания параметры),Backend,
Sprint 6 - PvE-ивенты,API: запуск ивента "нападение монстров" (админ-команда),Backend,
Sprint 6 - PvE-ивенты,Логика участия всех online-игроков в ивенте,Backend,
Sprint 6 - PvE-ивенты,Рассылка уведомления о старте ивента в канал,Bot,
Sprint 6 - PvE-ивенты,Команда участия в ивенте,Bot,
Sprint 6 - PvE-ивенты,Экран ивент-боя (переиспользует арену),Activity,
Sprint 6 - PvE-ивенты,Начисление наград за участие/победу в ивенте,Backend,
Sprint 7 - Турниры и недельные задания,Сущность Tournament + брекет-логика,Backend,
Sprint 7 - Турниры и недельные задания,API: регистрация на турнир,Backend,
Sprint 7 - Турниры и недельные задания,API: автогенерация пар и прогресс брекета,Backend,
Sprint 7 - Турниры и недельные задания,"Команды турнира (/tournament join, /tournament bracket)",Bot,
Sprint 7 - Турниры и недельные задания,Сущность WeeklyQuest + прогресс выполнения,Backend,
Sprint 7 - Турниры и недельные задания,Cron/scheduler: генерация новых недельных заданий,Backend,
Sprint 7 - Турниры и недельные задания,Экран турнирной сетки,Activity,
Sprint 7 - Турниры и недельные задания,Экран недельных заданий,Activity,
Polish / Post-MVP,Балансировка классов и снаряжения по данным боёв,GD,
Polish / Post-MVP,Полировка анимаций и звука,Activity,
Polish / Post-MVP,Логирование/аналитика боёв (для баланса),Backend,
Polish / Post-MVP,"Мониторинг и алерты (ошибки backend, аптайм Activity)",Infra,
Polish / Post-MVP,Лидерборд сервера (/leaderboard),Bot,
